origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,23.719633190328818,-1.7323187119287695
Philippines,PHL,1431,55.43146124768204,61.484517436314185,-6.053056188632148
Germany,DEU,852,46.60837951257089,49.98809812209034,-3.3797186095194505
India,IND,786,84.91338950070508,89.79066461436493,-4.877275113659849
El Salvador,SLV,735,30.930797020673346,30.18501554404116,0.7457814766321853
China,CHN,722,78.44213826350588,74.44125000829857,4.000888255207315
Vietnam,VNM,721,63.08913755580291,45.191216552049276,17.89792100375363
Canada,CAN,716,51.67502036089334,56.657633031604576,-4.982612670711234
Korea,KOR,663,65.49107264418545,59.487359742661795,6.003712901523656
United Kingdom,GBR,651,55.661747896908366,52.83446510726288,2.827282789645487
Cuba,CUB,585,48.15331168415832,42.95617587632225,5.197135807836069
Dominican Republic,DOM,572,36.95560565037632,36.442101500699486,0.5135041496768338
Japan,JPN,433,61.50164456557605,65.53058024879104,-4.028935683214989
Guatemala,GTM,430,28.179375357036935,30.95547088077498,-2.776095523738043
Columbia,COL,363,48.16988358842004,53.90359773299827,-5.733714144578229
Italy,ITA,357,65.22019809082605,52.90160576760107,12.318592323224976
Jamaica,JAM,315,50.59354092668876,48.42820005288537,2.1653408738033875
Laos,LAO,302,34.27932232227269,38.26831830362815,-3.9889959813554583
Taiwan,TWN,272,83.2761183962688,91.26329040459449,-7.987172008325686
Portugal,PRT,243,59.1227305569616,32.93998954191435,26.18274101504725
Haiti,HTI,242,44.77197640684865,44.4536899315113,0.3182864753373522
Ecuador,ECU,223,45.570721936830594,39.45490974529739,6.115812191533202
Peru,PER,206,44.627694004775584,48.477217075066285,-3.849523070290701
Honduras,HND,178,38.50285902403631,28.049419075309668,10.453439948726643
Pakistan,PAK,177,70.24427931774167,71.17303273675489,-0.9287534190132192
Iran,IRN,174,71.04903230054893,69.56433920214353,1.4846930984054012
Hong Kong,HKG,172,83.72611402272308,72.05129933540846,11.674814687314623
Poland,POL,159,68.75028948164494,47.29085466648332,21.45943481516162
Cambodia,KHM,158,39.026897746562675,39.00916072346503,0.01773702309764502
