origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,24.15807738260722,-2.170762904207173
Philippines,PHL,1431,55.43146124768204,63.46669681039914,-8.035235562717105
Germany,DEU,852,46.60837951257089,49.45708338559858,-2.848703873027688
India,IND,786,84.91338950070508,89.501024445042,-4.587634944336926
El Salvador,SLV,735,30.930797020673346,30.88555397158238,0.04524304909096699
China,CHN,722,78.44213826350588,74.36828306647537,4.073855197030511
Vietnam,VNM,721,63.08913755580291,38.14395356530468,24.94518399049823
Canada,CAN,716,51.67502036089334,57.46405762634228,-5.78903726544894
Korea,KOR,663,65.49107264418545,55.424044281364175,10.067028362821276
United Kingdom,GBR,651,55.661747896908366,51.014670467115415,4.647077429792951
Cuba,CUB,585,48.15331168415832,43.447903360289516,4.705408323868802
Dominican Republic,DOM,572,36.95560565037632,35.03337868157287,1.9222269688034501
Japan,JPN,433,61.50164456557605,64.23252155276079,-2.730876987184736
Guatemala,GTM,430,28.179375357036935,31.6268303842405,-3.4474550272035636
Columbia,COL,363,48.16988358842004,53.11518484401131,-4.945301255591268
Italy,ITA,357,65.22019809082605,58.81560687902651,6.404591211799534
Jamaica,JAM,315,50.59354092668876,47.378430658283406,3.215110268405354
Laos,LAO,302,34.27932232227269,33.83053044825349,0.44879187401920007
Taiwan,TWN,272,83.2761183962688,90.38208061939038,-7.10596222312158
Haiti,HTI,242,44.77197640684865,41.26767894781358,3.5042974590350724
Ecuador,ECU,223,45.570721936830594,37.81613890280632,7.754583034024272
Peru,PER,206,44.627694004775584,47.46546355177936,-2.8377695470037736
Honduras,HND,178,38.50285902403631,29.126073682511077,9.376785341525235
Pakistan,PAK,177,70.24427931774167,71.82273363228276,-1.5784543145410908
Iran,IRN,174,71.04903230054893,65.63038778737837,5.4186445131705625
Hong Kong,HKG,172,83.72611402272308,65.5054683851014,18.220645637621686
Poland,POL,159,68.75028948164494,41.06930777059226,27.68098171105268
Cambodia,KHM,158,39.026897746562675,36.828194811722746,2.198702934839929
