origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,24.08481753735878,-2.0975030589587327
Philippines,PHL,1431,55.43146124768204,58.98370961842807,-3.5522483707460353
Germany,DEU,852,46.60837951257089,55.777490329383525,-9.169110816812633
India,IND,786,84.91338950070508,86.8903453497259,-1.9769558490208254
El Salvador,SLV,735,30.930797020673346,25.381090987635076,5.5497060330382695
China,CHN,722,78.44213826350588,70.26644698387712,8.175691279628765
Vietnam,VNM,721,63.08913755580291,44.19175455917834,18.897382996624565
Canada,CAN,716,51.67502036089334,62.00456631664715,-10.329545955753808
Korea,KOR,663,65.49107264418545,65.95151424621469,-0.4604416020292348
United Kingdom,GBR,651,55.661747896908366,64.2242583390187,-8.562510442110337
Cuba,CUB,585,48.15331168415832,41.726650455266665,6.426661228891653
Dominican Republic,DOM,572,36.95560565037632,37.46105237190383,-0.5054467215275125
Japan,JPN,433,61.50164456557605,63.96585536089169,-2.464210795315637
Guatemala,GTM,430,28.179375357036935,26.069568346216407,2.1098070108205285
Columbia,COL,363,48.16988358842004,51.457035613242994,-3.2871520248229515
Italy,ITA,357,65.22019809082605,53.35176113047174,11.868436960354302
Jamaica,JAM,315,50.59354092668876,46.598503978221736,3.9950369484670247
Laos,LAO,302,34.27932232227269,32.777942612142596,1.5013797101300952
Taiwan,TWN,272,83.2761183962688,83.59186862169997,-0.3157502254311737
Portugal,PRT,243,59.1227305569616,38.86559655591827,20.257134001043326
Haiti,HTI,242,44.77197640684865,39.695050353715395,5.076926053133256
Ecuador,ECU,223,45.570721936830594,34.52324236984642,11.047479566984173
Peru,PER,206,44.627694004775584,42.24626478467237,2.3814292201032146
Honduras,HND,178,38.50285902403631,25.74310876090038,12.759750263135931
Pakistan,PAK,177,70.24427931774167,67.97780217816623,2.266477139575443
Iran,IRN,174,71.04903230054893,70.28300675473935,0.7660255458095833
Hong Kong,HKG,172,83.72611402272308,68.05052575645801,15.675588266265066
Poland,POL,159,68.75028948164494,54.992374954371385,13.757914527273556
Cambodia,KHM,158,39.026897746562675,34.706411050841226,4.320486695721449
