n2,wpop,share_ba_2ndgen,share_lths_2ndgen,n_ftfy,med_earn_2ndgen,cps_code,origin,n1,share_ba_1stgen,share_lths_1stgen,n_adultarr,share_ba_adultarr,iso3,share_ba_origin,origin_ba_year,refugee_dummy,mexcam_dummy,share_ba_origin_early,origin_ba_year_early,selectivity,selectivity_early,selectivity_adultarr,resid,fitted
10174,3479439.6366666667,21.987314478400048,10.296790884309168,6178,45000.0,303,Mexico,29304,9.866480807231838,45.07994584939944,18964,9.712334490095202,MEX,16.99,2022.0,0,1,12.76,2010.0,-7.1235191927681605,-2.893519192768162,-7.277665509904796,-1.567541398847613,23.55485587724766
1431,459593.11,55.43146124768204,1.065703893312645,970,60000.0,233,Philippines,4099,57.543654805508616,1.9170075487292177,2963,60.85605463995903,PHL,18.08,2022.0,0,0,16.43,2010.0,39.46365480550862,41.11365480550862,42.77605463995903,-6.293707672608406,61.72516892029044
852,306714.61833333335,46.60837951257089,3.4246313583216828,547,59500.0,110,Germany,469,53.23827565156984,1.718080479297425,357,54.516881451471065,DEU,29.58,2022.0,0,0,,,23.658275651569845,,24.936881451471066,-2.166953255560138,48.77533276813103
786,292519.77,84.91338950070508,1.019589205885127,574,89000.0,210,India,6640,87.44945564671617,2.312688930475224,5986,88.06692507711698,IND,12.14,2022.0,0,0,9.14,2011.0,75.30945564671617,78.30945564671617,75.92692507711698,-6.181353101776708,91.09474260248179
735,263028.56,30.930797020673346,5.64550797576253,466,50000.0,312,El Salvador,3346,10.482241311263932,44.91655250820209,2393,9.718782139519515,SLV,8.43,2020.0,0,1,,,2.0522413112639324,,1.2887821395195154,-0.14204333143961279,31.07284035211296
722,271799.3666666667,78.44213826350588,3.227629546843437,511,82000.0,207,China,3979,64.60536006962228,8.693467089019741,3406,64.33761434860263,CHN,7.68,2020.0,0,0,1.47,2000.0,56.92536006962228,63.13536006962228,56.65761434860263,2.4100539630032642,76.03208430050262
721,262669.98,63.08913755580291,2.223034140914517,471,65000.0,247,Vietnam,2472,31.719543413114458,15.243661556215601,1561,22.05128180724365,VNM,11.52,2022.0,1,0,,,20.19954341311446,,10.531281807243651,17.147651122261514,45.94148643354139
716,238862.71833333335,51.67502036089334,1.462829091837277,451,70000.0,301,Canada,1070,63.88226597137477,1.0150287151308635,737,67.48258035230795,CAN,32.35,2022.0,0,0,17.75,2000.0,31.53226597137477,46.13226597137477,35.13258035230795,-3.5517162939804123,55.226736654873754
585,215284.57,48.15331168415832,3.4636744596543387,406,60000.0,327,Cuba,2473,32.24080808052363,9.010960438245046,1873,32.615078368702065,CUB,15.33,2019.0,1,0,9.36,2002.0,16.91080808052363,22.88080808052363,17.285078368702067,4.906387860603758,43.24692382355456
572,221621.935,36.95560565037632,5.6677226767588085,348,55000.0,329,Dominican Republic,2388,23.3422595269744,19.918510589405784,1693,20.930424188687162,DOM,14.36,2019.0,0,0,,,8.9822595269744,,6.570424188687163,0.20478696247845818,36.75081868789786
