outcome,outcome_label,taxonomy,period,group,n_obs,adjusted_gap,se_adjusted_gap,raw_gap,se_raw_gap
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Mexico|1st_foreign_born,42104.0,-0.13243171309689897,0.0025135445398155646,-0.10374485193790983,0.002584061843536865
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Mexico|2nd_gen_all,10582.0,-0.050990427547410906,0.004612483220136323,-0.04968237692245647,0.004780287348017887
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Central America|1st_foreign_born,11373.0,-0.06076183656270028,0.004552286206296357,-0.036120630714791324,0.004625416711888161
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Central America|2nd_gen_all,1674.0,-0.027486477575018382,0.010900414791731783,-0.009482134669989262,0.011447585503667656
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Caribbean|1st_foreign_born,13903.0,-0.07027583686193078,0.004623754365543581,-0.07567212082121777,0.004712992439748199
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Caribbean|2nd_gen_all,2294.0,-0.03304820334255947,0.010524847000166496,-0.0031027882254455186,0.010435497772592865
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,South America|1st_foreign_born,9768.0,-0.040607349217824606,0.005176222480244303,-0.031084721276093075,0.005107632471631635
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,South America|2nd_gen_all,1163.0,0.012500908074955932,0.014203586217514833,0.03362260011570739,0.014072597853629534
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Europe|1st_foreign_born,18681.0,-0.03134419955577445,0.0038125263054050586,-0.044148492070949175,0.004120617749534727
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Europe|2nd_gen_all,24547.0,0.006089907857075135,0.0030215006895176443,-0.03248154777355139,0.003261623480131202
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Asia|1st_foreign_born,32945.0,-0.06079824153759073,0.0028813502918998662,-0.05202338737304335,0.002977559976700779
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Asia|2nd_gen_all,4744.0,-0.001248126181528677,0.0073503146075373504,0.011746782480232643,0.007349078977527286
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Africa|1st_foreign_born,2640.0,-0.05058425839434418,0.00980511406978187,-0.011432710845238558,0.010148284521125586
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Africa|2nd_gen_all,249.0,0.07372960869922555,0.024005456398971656,0.07242223760659317,0.02531240099133635
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Canada|1st_foreign_born,3435.0,-0.011298636292599298,0.008476463921719505,-0.024891809299577905,0.009074793315928826
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Canada|2nd_gen_all,6643.0,0.017184834628601316,0.005761184900224108,-0.006139977951886588,0.006194479875968538
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Other|1st_foreign_born,879.0,-0.05666920845377566,0.017072197888148243,-0.04331210767367444,0.017018232859574312
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Other|2nd_gen_all,266.0,0.03231974495590789,0.025536258515747493,0.033888408551801086,0.02550493164680582
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,US outlying|1st_foreign_born,8400.0,-0.16447631987769343,0.0064316997812492276,-0.17546110786237923,0.00675721672470191
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,US outlying|2nd_gen_all,4718.0,-0.10637083481478998,0.007238161285402946,-0.08390216170277986,0.007392370488218436
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_NH_white,585870.0,0.0,0.0,0.0,0.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_Mexican_selfid,20827.0,-0.05592227000192181,0.003790869208694469,-0.040351888128435265,0.003773614079086847
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_other,113915.0,-0.09083508047555106,0.0018378614103252938,-0.08970962755461864,0.001858615571161621
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Mexico|1st_foreign_born,60678.0,-0.10325907548312366,0.0021941029863868007,-0.07276588528839623,0.0022097060742037756
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Mexico|2nd_gen_all,15611.0,-0.032501694702110624,0.00410843077877385,-0.013849536304110122,0.004088137197520454
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Central America|1st_foreign_born,15993.0,-0.0341672051112013,0.004376451303372503,-0.006334387068988256,0.004436275185825729
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Central America|2nd_gen_all,1726.0,-0.00025260635715692085,0.011950029102322894,0.02573859731736594,0.011766667732712446
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Caribbean|1st_foreign_born,14929.0,-0.03654218558930966,0.004252628927344111,-0.03429595123920537,0.004145004434715252
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Caribbean|2nd_gen_all,3643.0,-0.035134699259862755,0.009089261649521172,-0.007371979281628693,0.009081000014377894
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,South America|1st_foreign_born,12624.0,-0.008309001204154853,0.004597501223298311,0.008114794487441013,0.004621226832753192
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,South America|2nd_gen_all,1951.0,-0.0002887281089449488,0.011766838312014569,0.0296595115809436,0.011521223387709023
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Europe|1st_foreign_born,18966.0,-0.012399337539827906,0.00395115549878368,-0.013967666862100603,0.00405435837964697
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Europe|2nd_gen_all,19427.0,0.019831532078686865,0.00385435707183315,0.012672576374599731,0.003956168701626944
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Asia|1st_foreign_born,51297.0,-0.032480213617379794,0.002379725107085691,-0.024128042383658954,0.002432242219480985
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Asia|2nd_gen_all,10195.0,-0.007428322189045087,0.004848015498708787,0.013721948320373989,0.004857179632941362
