arm,group,measure,n,rate,se,diff_vs_nh_white_points,diff_se_points
adults_18_plus,mexico_born,volunteered,2699,0.109058,0.00824164,-19.7743,0.860371
adults_18_plus,mexico_born,volunteered_pes16,2574,0.0801636,0.00697583,-20.1785,0.741101
adults_18_plus,mexico_born,gave_over_25,2565,0.293824,0.0113546,-27.7726,1.1541
adults_18_plus,mexico_born,veteran,2699,0.00529722,0.00140056,-7.86605,0.184475
adults_18_plus,mexico_born_citizen,volunteered,1012,0.120784,0.0113939,-18.6017,1.20482
adults_18_plus,mexico_born_citizen,volunteered_pes16,970,0.0945334,0.0106859,-18.7415,1.13009
adults_18_plus,mexico_born_citizen,gave_over_25,966,0.371063,0.0189746,-20.0486,1.93574
adults_18_plus,mexico_born_citizen,veteran,1012,0.0138667,0.00385443,-7.0091,0.409428
adults_18_plus,mexican_2nd_gen,volunteered,1895,0.15055,0.0100635,-15.6251,1.01715
adults_18_plus,mexican_2nd_gen,volunteered_pes16,1813,0.128942,0.00967444,-15.3006,0.97392
adults_18_plus,mexican_2nd_gen,gave_over_25,1805,0.280375,0.0126485,-29.1174,1.31157
adults_18_plus,mexican_2nd_gen,veteran,1895,0.0343092,0.00462867,-4.96485,0.466942
adults_18_plus,mexican_3rd_plus,volunteered,1981,0.197298,0.0108849,-10.9504,1.13406
adults_18_plus,mexican_3rd_plus,volunteered_pes16,1847,0.166549,0.0105221,-11.5399,1.0924
adults_18_plus,mexican_3rd_plus,gave_over_25,1841,0.381998,0.0161761,-18.9552,1.62783
adults_18_plus,mexican_3rd_plus,veteran,1981,0.0487792,0.00510411,-3.51786,0.517255
adults_18_plus,india_born,volunteered,824,0.256484,0.0204579,-5.03174,2.04783
adults_18_plus,india_born,volunteered_pes16,777,0.227363,0.0200508,-5.45856,1.99742
adults_18_plus,india_born,gave_over_25,773,0.529775,0.0253761,-4.17739,2.52048
adults_18_plus,india_born,veteran,824,0.00091649,0.00095882,-8.30413,0.147275
adults_18_plus,india_born_citizen,volunteered,357,0.304964,0.0293854,-0.183722,2.93494
adults_18_plus,india_born_citizen,volunteered_pes16,333,0.288432,0.0314066,0.648407,3.13227
adults_18_plus,india_born_citizen,gave_over_25,333,0.635761,0.0387208,6.4212,3.84522
adults_18_plus,india_born_citizen,veteran,357,0.00191752,0.00200355,-8.20402,0.227257
adults_18_plus,indian_2nd_gen,volunteered,170,0.300786,0.0446815,-0.601506,4.46129
adults_18_plus,indian_2nd_gen,volunteered_pes16,161,0.30709,0.0473003,2.51418,4.72668
adults_18_plus,indian_2nd_gen,gave_over_25,159,0.561003,0.0541565,-1.05466,5.40273
adults_18_plus,indian_2nd_gen,veteran,170,0.00134619,0.00136993,-8.26116,0.183222
adults_18_plus,usb_asian_indian_selfid,volunteered,180,0.25517,0.0432619,-5.16309,4.34542
adults_18_plus,usb_asian_indian_selfid,volunteered_pes16,165,0.259282,0.0447646,-2.26662,4.48412
adults_18_plus,usb_asian_indian_selfid,gave_over_25,161,0.534338,0.0511434,-3.7211,5.0891
adults_18_plus,usb_asian_indian_selfid,veteran,180,0.00701788,0.00676138,-7.69399,0.680992
adults_18_plus,usb_nh_white,volunteered,64922,0.306801,0.00282151,0,0
adults_18_plus,usb_nh_white,volunteered_pes16,61561,0.281948,0.0028191,0,0
adults_18_plus,usb_nh_white,gave_over_25,61083,0.571549,0.00318238,0,0
