group,sex,age_band,n_records,outcome,spec,group_rate,group_rate_se,comparison_rate,comparison_se,ratio,ratio_se,n_eff,ref_share_off_support,margins,replicate_fallbacks,max_factor,top10_cell_share,share_at_finest_cell,share_unmatched,expected_ratio
usb_mexican_hisp,men,18_24,53386,ever_active_duty,raw,0.0335785,0.000890321,0.0356077,0.000462626,0.943012,0.0284849,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,raw,0.0233709,0.000688186,0.0239259,0.00037138,0.976802,0.0345565,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,raw,0.00875383,0.000502976,0.0101384,0.000289988,0.863436,0.0583309,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,a_education_direct,0.0326721,0.000930056,0.0356077,0.000462626,0.917557,0.0289269,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,a_education_direct,0.0224978,0.000733411,0.0239259,0.00037138,0.940308,0.0355176,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,a_education_direct,0.00916387,0.000522327,0.0101384,0.000289988,0.903881,0.0586975,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,a_education_indirect,0.0335785,0.000890321,0.036446,0.000486763,0.921322,0.0276346,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,a_education_indirect,0.0233709,0.000688186,0.0242656,0.000381631,0.96313,0.0338694,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,a_education_indirect,0.00875383,0.000502976,0.0101119,0.000289241,0.865695,0.0590908,,,,,,,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,age_direct,0.0345958,0.00093395,0.0356077,0.000462626,0.971583,0.029779,30381.794591477726,0.0,age (min 20),0,1.0,0.30355804401437714,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,age_direct,0.0235286,0.000693602,0.0239259,0.00037138,0.983392,0.0348641,30381.794591477726,0.0,age (min 20),0,1.0,0.30355804401437714,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,age_direct,0.0089635,0.000519509,0.0101384,0.000289988,0.884117,0.0603624,30381.794591477726,0.0,age (min 20),0,1.0,0.30355804401437714,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,a_age_education_direct,0.0324274,0.000935035,0.0356077,0.000462626,0.910687,0.028921,26694.819115140857,0.0,age x educ (min 20),0,3.1334243371833566,0.2734940403486589,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,a_age_education_direct,0.022343,0.000734413,0.0239259,0.00037138,0.93384,0.0353756,26694.819115140857,0.0,age x educ (min 20),0,3.1334243371833566,0.2734940403486589,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,a_age_education_direct,0.00905966,0.000512855,0.0101384,0.000289988,0.893602,0.0577539,26694.819115140857,0.0,age x educ (min 20),0,3.1334243371833566,0.2734940403486589,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_raked_geo,0.057615,0.00240203,0.0356077,0.000462626,1.61805,0.0702591,6863.509893938659,0.0,"age, state, division x metro (min 20)",0,14.501037564399216,0.2603801122109202,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_raked_geo,0.0441576,0.00181801,0.0239259,0.00037138,1.84559,0.0812889,6863.509893938659,0.0,"age, state, division x metro (min 20)",0,14.501037564399216,0.2603801122109202,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_raked_geo,0.0134243,0.00158841,0.0101384,0.000289988,1.32411,0.163912,6863.509893938659,0.0,"age, state, division x metro (min 20)",0,14.501037564399216,0.2603801122109202,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_raked_full,0.0560747,0.00225166,0.0356077,0.000462626,1.57479,0.0653803,6475.1167088844595,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,24.898337555867784,0.2431941622393709,,,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_raked_full,0.0437877,0.00183331,0.0239259,0.00037138,1.83013,0.0797052,6475.1167088844595,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,24.898337555867784,0.2431941622393709,,,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_raked_full,0.0145928,0.00184307,0.0101384,0.000289988,1.43936,0.186904,6475.1167088844595,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,24.898337555867784,0.2431941622393709,,,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,age_indirect,0.0335785,0.000890321,0.0344216,0.000441613,0.975505,0.0295542,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,age_indirect,0.0233709,0.000688186,0.0235348,0.000354297,0.993038,0.0348291,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,age_indirect,0.00875383,0.000502976,0.00992927,0.000285022,0.881619,0.0593372,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,a_age_education_indirect,0.0335785,0.000890321,0.0366645,0.000496669,0.91583,0.0276889,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,a_age_education_indirect,0.0233709,0.000688186,0.0243751,0.000381215,0.958803,0.0335876,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,a_age_education_indirect,0.00875383,0.000502976,0.0101479,0.000291622,0.862621,0.0591454,,,,,,,1.0,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_indirect_geo,0.0335785,0.000890321,0.0488596,0.00100826,0.687244,0.0216448,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_indirect_geo,0.0233709,0.000688186,0.0371507,0.00092697,0.629084,0.0243474,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_indirect_geo,0.00875383,0.000502976,0.00781494,0.000460226,1.12014,0.0953036,,,,,,,0.998772112238411,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,b_indirect_full,0.0335785,0.000890321,0.0505544,0.00111443,0.664205,0.0213378,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,now_active_duty,b_indirect_full,0.0233709,0.000688186,0.0375311,0.000973556,0.622707,0.0241042,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,b_indirect_full,0.00875383,0.000502976,0.00810934,0.000514505,1.07947,0.0967869,,,,,,,0.9671197540941692,0.0,
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_teen_15_17,0.0335785,0.000890321,0.0380771,0.000494709,0.881855,0.0266376,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_teen_15_17,0.0233709,0.000688186,0.0255852,0.000397135,0.913454,0.0323155,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_teen_15_17,0.00875383,0.000502976,0.0108415,0.000310099,0.80744,0.054548,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_teen_15_17,0.0335785,0.000890321,0.0368088,0.000472239,0.912241,0.0276375,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_teen_15_17,0.0233709,0.000688186,0.0251669,0.000378867,0.928637,0.0325704,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_teen_15_17,0.00875383,0.000502976,0.0106179,0.000304788,0.824443,0.055489,,,,,,,,,1.06935
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_youth_18_24,0.0335785,0.000890321,0.0363825,0.000472693,0.922929,0.0278783,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_youth_18_24,0.0233709,0.000688186,0.0244466,0.000379461,0.955999,0.0338206,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_youth_18_24,0.00875383,0.000502976,0.010359,0.000296299,0.845048,0.0570886,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_youth_18_24,0.0335785,0.000890321,0.0351707,0.000451223,0.95473,0.0289248,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_youth_18_24,0.0233709,0.000688186,0.0240469,0.000362006,0.971889,0.0340874,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_youth_18_24,0.00875383,0.000502976,0.0101453,0.000291224,0.862843,0.0580735,,,,,,,,,1.02176
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_neighborhood_per_household,0.0335785,0.000890321,0.0376131,0.000488681,0.892733,0.0269662,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_neighborhood_per_household,0.0233709,0.000688186,0.0252734,0.000392296,0.924722,0.0327141,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_neighborhood_per_household,0.00875383,0.000502976,0.0107094,0.000306321,0.8174,0.0552208,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,ever_active_duty,c_age_neighborhood_per_household,0.0335785,0.000890321,0.0363603,0.000466485,0.923493,0.0279784,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,now_active_duty,c_age_neighborhood_per_household,0.0233709,0.000688186,0.0248602,0.000374251,0.940092,0.0329721,,,,,,,,,1.05632
usb_mexican_hisp,men,18_24,53386,reserve_guard_only,c_age_neighborhood_per_household,0.00875383,0.000502976,0.0104885,0.000301074,0.834613,0.0561735,,,,,,,,,1.05632
usb_mexican_hisp,men,18_49,157635,ever_active_duty,raw,0.0551716,0.000856274,0.0701668,0.000286852,0.786293,0.0123688,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,raw,0.0155318,0.000333093,0.0155377,0.000137938,0.999621,0.0242543,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,raw,0.0101295,0.000331412,0.0121706,0.000159627,0.83229,0.0301763,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_education_direct,0.0628646,0.000990949,0.0701668,0.000286852,0.895931,0.014368,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_education_direct,0.0159001,0.00034962,0.0155377,0.000137938,1.02332,0.0255738,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,reserve_guard_only,a_education_direct,0.011283,0.000420618,0.0121706,0.000159627,0.92707,0.0361918,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,ever_active_duty,a_education_indirect,0.0551716,0.000856274,0.0669575,0.000331382,0.82398,0.0128753,,,,,,,,,
usb_mexican_hisp,men,18_49,157635,now_active_duty,a_education_indirect,0.0155318,0.000333093,0.0147006,0.000147796,1.05654,0.0257919,,,,,,,,,
