group,sex,age_band,by,region,n_records,share_of_group,share_se,rate,se,white_rate,white_se,ratio,ratio_se,ratio_age_standardised,ratio_age_standardised_se,white_age_cells_missing
usb_mexican_hisp,men,18_49,birth_region,all,157635,1,0,0.0551716,0.000856274,0.0701668,0.000286852,0.786293,0.0123688,0.883129,0.0139752,0
usb_mexican_hisp,men,18_49,birth_region,new_england,782,0.00578968,0.000261478,0.045991,0.0110701,0.0582619,0.00109842,0.789383,0.189061,0.795629,0.187255,0
usb_mexican_hisp,men,18_49,birth_region,middle_atlantic,2919,0.0198799,0.000520863,0.0605376,0.00619949,0.05693,0.000901661,1.06337,0.113489,1.37388,0.148758,0
usb_mexican_hisp,men,18_49,birth_region,east_north_central,11783,0.0824202,0.000772686,0.0524832,0.00275715,0.0631224,0.000698536,0.831451,0.0446947,0.95875,0.0515243,0
usb_mexican_hisp,men,18_49,birth_region,west_north_central,3091,0.0219444,0.00047197,0.0536633,0.00388202,0.0656274,0.000976648,0.817697,0.0621634,1.03392,0.0790148,0
usb_mexican_hisp,men,18_49,birth_region,south_atlantic,6301,0.0391577,0.00058275,0.0591073,0.00387488,0.0792084,0.000819439,0.746225,0.0504878,0.957148,0.06356,0
usb_mexican_hisp,men,18_49,birth_region,east_south_central,1132,0.00673016,0.000214056,0.056361,0.00903601,0.0686478,0.00103074,0.821017,0.13008,1.12891,0.175926,0
usb_mexican_hisp,men,18_49,birth_region,west_south_central_ex_texas,1706,0.0105405,0.00031251,0.0769177,0.00991359,0.0781383,0.00153716,0.984379,0.129972,1.19844,0.159829,0
usb_mexican_hisp,men,18_49,birth_region,mountain,16751,0.112165,0.000817975,0.0565486,0.0021259,0.0753331,0.0014172,0.750647,0.0319328,0.848973,0.0362176,0
usb_mexican_hisp,men,18_49,birth_region,pacific_ex_california,4188,0.026653,0.000438204,0.0602213,0.00398783,0.0834344,0.00181081,0.721781,0.0492576,0.865889,0.059778,0
usb_mexican_hisp,men,18_49,birth_region,outside_states,3149,0.0197757,0.000438965,0.0563362,0.00540766,0.110748,0.00389099,0.508687,0.0506365,0.553953,0.0549402,0
usb_mexican_hisp,men,18_49,birth_region,california,66130,0.395066,0.00146729,0.0497133,0.00120286,0.0783033,0.00119622,0.634882,0.0183586,0.708368,0.0216709,0
usb_mexican_hisp,men,18_49,birth_region,texas,39703,0.259878,0.00127293,0.0615367,0.0017776,0.0863388,0.00123533,0.712736,0.0231132,0.778085,0.0254025,0
usb_mexican_hisp,men,18_49,residence_region,all,157635,1,0,0.0551716,0.000856274,0.0701668,0.000286852,0.786293,0.0123688,0.883129,0.0139752,0
usb_mexican_hisp,men,18_49,residence_region,new_england,801,0.00458429,0.000200907,0.0932126,0.0117966,0.0467275,0.00117194,1.99481,0.263213,2.22401,0.304998,0
usb_mexican_hisp,men,18_49,residence_region,middle_atlantic,2939,0.0201406,0.00046579,0.0537952,0.00499707,0.0405539,0.000773368,1.32651,0.126967,1.73904,0.163343,0
