share_of_2020_2021_band_treated_as_2021_arrivals,coverage_scheme,counted_residual,adjusted_residual,implied_overall_multiplier
0.0,none,14896404,14896404,1.0
0.0,cis_2.25pct_flat,14896404,15239288,1.023
0.0,cms_5_37,14896404,17710102,1.1889
0.0,cms_high_5_65,14896404,22530585,1.5125
0.5,none,14896404,14896404,1.0
0.5,cis_2.25pct_flat,14896404,15239288,1.023
0.5,cms_5_37,14896404,18132029,1.2172
0.5,cms_high_5_65,14896404,23954588,1.6081
1.0,none,14896404,14896404,1.0
1.0,cis_2.25pct_flat,14896404,15239288,1.023
1.0,cms_5_37,14896404,18553956,1.2455
1.0,cms_high_5_65,14896404,25378591,1.7037
