object,case_id,allocation,normalization,profile,welfare_bn_recomputed,welfare_bn_published,abs_diff_bn
service_response_case,personal_0,personal,gdp,proportional_reference,-284.1836611692407,-284.18366116924074,5.684341886080802e-14
service_response_case,personal_0,personal,cash,proportional_reference,-288.71563139203187,-288.7156313920319,5.684341886080802e-14
service_response_case,personal_1,personal,gdp,school_response_only,-231.36317430798312,-231.36317430798303,8.526512829121202e-14
service_response_case,personal_1,personal,cash,school_response_only,-235.8951445307743,-235.89514453077425,5.684341886080802e-14
service_response_case,personal_2,personal,gdp,cbo_category_lag_non_school_fixed,-131.75732058481395,-131.757320584814,5.684341886080802e-14
service_response_case,personal_2,personal,cash,cbo_category_lag_non_school_fixed,-136.28929080760514,-136.2892908076052,5.684341886080802e-14
service_response_case,personal_3,personal,gdp,cbo_category_lag_non_school_full,-188.5693883893636,-188.56938838936367,5.684341886080802e-14
service_response_case,personal_3,personal,cash,cbo_category_lag_non_school_full,-193.1013586121548,-193.10135861215485,5.684341886080802e-14
service_response_case,personal_4,personal,gdp,school_response_only,-235.6459164859229,-235.6459164859229,0.0
service_response_case,personal_4,personal,cash,school_response_only,-240.17788670871408,-240.17788670871408,0.0
service_response_case,personal_5,personal,gdp,cbo_category_lag_non_school_fixed,-136.04006276275376,-136.04006276275382,5.684341886080802e-14
service_response_case,personal_5,personal,cash,cbo_category_lag_non_school_fixed,-140.57203298554495,-140.57203298554504,8.526512829121202e-14
service_response_case,personal_6,personal,gdp,cbo_category_lag_non_school_full,-192.8521305673035,-192.8521305673035,0.0
service_response_case,personal_6,personal,cash,cbo_category_lag_non_school_full,-197.3841007900947,-197.3841007900947,0.0
service_response_case,personal_7,personal,gdp,school_response_only,-220.29935790234077,-220.29935790234077,0.0
service_response_case,personal_7,personal,cash,school_response_only,-224.83132812513196,-224.83132812513196,0.0
service_response_case,personal_8,personal,gdp,cbo_category_lag_non_school_fixed,-150.59571068090756,-150.5957106809076,2.842170943040401e-14
service_response_case,personal_8,personal,cash,cbo_category_lag_non_school_fixed,-155.12768090369875,-155.12768090369875,0.0
service_response_case,personal_9,personal,gdp,cbo_category_lag_non_school_full,-177.50557198372135,-177.50557198372138,2.842170943040401e-14
service_response_case,personal_9,personal,cash,cbo_category_lag_non_school_full,-182.03754220651254,-182.03754220651257,2.842170943040401e-14
